PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS
1628449,1.7,2.4,0.723,0.3,0.8,0.425,0.2,0.4,0.5,0.3,0.8,0.421,0.4,1,0.367,0.7,2.1,0.34,0,0,0,Chris Boucher,7.4,3.9,1.7,10,0.208,0.615,0.586,113.3,0.22972973,1.351351351
1626157,4.8,7.1,0.669,1.6,3.6,0.452,0.5,1.4,0.343,0,0.2,0.273,0.1,0.2,0.364,1.9,4.4,0.427,0,0,0,Karl-Anthony Towns,16.9,4.7,5.7,24.4,0.265,0.63,0.584,119.4,0.337278107,1.443786982
1628381,3,4.4,0.678,2.1,4.1,0.512,0.5,1.2,0.426,0.2,0.6,0.333,0.4,0.9,0.5,0.9,2.3,0.378,0,0,0,John Collins,13.3,3.7,4.1,19,0.234,0.628,0.583,112.4,0.308270677,1.428571429
1629661,2.1,2.9,0.714,0.8,1.6,0.467,0.6,1.4,0.418,0.4,0.9,0.407,0.3,0.7,0.462,2.1,5.5,0.378,0,0,0,Cameron Johnson,13.1,7.2,3.9,18.8,0.224,0.632,0.582,110.9,0.297709924,1.435114504
1630169,1.3,1.8,0.718,1.2,2.2,0.563,1,2.1,0.484,0.1,0.2,0.529,0.1,0.4,0.37,2.7,7,0.391,0,0.1,0,Tyrese Haliburton,13.8,7.7,3,18.6,0.21,0.616,0.582,117.7,0.217391304,1.347826087
1628392,2.6,3.6,0.724,2.2,4.2,0.521,0.1,0.4,0.4,0,0,0,0,0,0,0,0.3,0,0,0,0,Isaiah Hartenstein,8.4,0.3,2.1,11.2,0.165,0.599,0.581,118.3,0.25,1.333333333
1629130,0.9,1.3,0.649,0.4,0.9,0.457,0.1,0.2,0.385,0.3,0.6,0.422,0.3,0.8,0.407,2,5.2,0.388,0,0,0,Duncan Robinson,9,6.5,0.7,11,0.187,0.595,0.581,110.1,0.077777778,1.222222222
1628401,1,1.4,0.718,0.8,1.4,0.564,0.3,0.7,0.418,0.4,0.8,0.46,0.3,0.8,0.4,2.8,7.5,0.373,0,0,0,Derrick White,12.6,9.1,2.1,16.4,0.195,0.606,0.58,119.7,0.166666667,1.301587302
1628404,3.2,4.5,0.707,0.6,1.5,0.427,0.3,0.7,0.462,0.1,0.5,0.286,0.1,0.4,0.323,0.8,2.4,0.344,0,0,0,Josh Hart,10,3.3,2.7,13.6,0.151,0.611,0.579,117.9,0.27,1.36
1627736,0.7,1.1,0.618,0.7,1.6,0.4,0.4,1,0.407,0.6,1.1,0.54,0.5,1,0.513,2.8,7.3,0.387,0,0,0,Malik Beasley,13.1,9.3,1.7,16.3,0.215,0.59,0.579,113.3,0.129770992,1.244274809
1626181,2.7,4.1,0.65,1.5,3.2,0.464,0.5,1.3,0.364,0.2,0.6,0.371,0.2,0.5,0.419,2.6,6,0.426,0,0.1,0,Norman Powell,15.8,7.1,4.4,21.8,0.255,0.615,0.578,116.2,0.278481013,1.379746835
1629652,0.8,1.3,0.574,0.3,0.7,0.346,0.2,0.5,0.471,0.3,0.7,0.385,0.4,0.8,0.45,1.7,4.2,0.409,0,0,0,Luguentz Dort,8.4,5.8,0.6,10.1,0.133,0.586,0.578,120.4,0.071428571,1.202380952
1626167,1.8,2.6,0.695,0.9,2.2,0.408,0.6,1,0.548,0.1,0.2,0.6,0.3,0.6,0.463,1.8,4.7,0.379,0,0,0,Myles Turner,11.3,5.5,3.3,15.6,0.207,0.612,0.577,116.1,0.292035398,1.380530973
